,Team,TrainAccuracy,TestAccuracy,TestSize,Type
0,MIN,100.0,62.365591397849464,93.0,Home
1,NJN,100.0,80.85106382978722,47.0,Home
2,MEM,100.0,68.68686868686868,99.0,Home
3,ORL,100.0,61.0,100.0,Home
4,CLE,99.76525821596243,67.9245283018868,106.0,Home
5,PHI,100.0,68.04123711340206,97.0,Home
6,CHA,99.73821989528795,53.125,96.0,Home
7,DET,100.0,61.224489795918366,98.0,Home
8,UTA,99.74937343358394,59.0,100.0,Home
9,GSW,100.0,68.57142857142857,105.0,Home
10,BOS,99.53917050691244,67.5925925925926,108.0,Home
11,PHX,100.0,69.47368421052633,95.0,Home
12,LAC,99.74489795918369,64.28571428571429,98.0,Home
13,DAL,100.0,69.0,100.0,Home
14,TOR,100.0,72.72727272727273,99.0,Home
15,MIA,99.76470588235294,61.320754716981135,106.0,Home
16,SAS,99.77168949771686,63.63636363636363,110.0,Home
17,CHI,100.0,65.34653465346534,101.0,Home
18,IND,100.0,64.35643564356435,101.0,Home
19,ATL,99.75786924939469,62.135922330097074,103.0,Home
20,DEN,100.0,57.57575757575758,99.0,Home
21,WAS,99.74811083123427,65.65656565656566,99.0,Home
22,HOU,100.0,66.66666666666666,102.0,Home
23,NYK,100.0,61.45833333333334,96.0,Home
24,MIL,99.73890339425587,67.70833333333334,96.0,Home
25,POR,100.0,58.163265306122454,98.0,Home
27,SAC,100.0,64.51612903225806,93.0,Home
28,LAL,99.75550122249388,78.43137254901961,102.0,Home
29,NOH,100.0,64.58333333333334,48.0,Home
30,OKC,100.0,60.22727272727273,88.0,Home
31,BKN,100.0,66.0,50.0,Home
32,NOP,100.0,55.00000000000001,40.0,Home
33,MIN,100.0,62.76595744680851,94.0,Away
34,NJN,100.0,60.41666666666666,48.0,Away
35,MEM,100.0,64.35643564356435,101.0,Away
36,ORL,99.75062344139653,53.0,100.0,Away
37,CLE,100.0,69.44444444444444,108.0,Away
38,PHI,100.0,63.91752577319587,97.0,Away
39,CHA,100.0,58.947368421052616,95.0,Away
40,DET,100.0,62.886597938144334,97.0,Away
41,UTA,99.74937343358394,61.0,100.0,Away
42,GSW,100.0,69.90291262135922,103.0,Away
43,BOS,100.0,61.111111111111114,108.0,Away
44,PHX,100.0,61.855670103092784,97.0,Away
45,LAC,100.0,66.66666666666666,99.0,Away
46,DAL,99.74874371859299,66.66666666666666,99.0,Away
47,TOR,99.75186104218363,71.28712871287128,101.0,Away
48,MIA,100.0,61.904761904761905,105.0,Away
49,SAS,100.0,62.03703703703704,108.0,Away
50,CHI,99.75247524752476,66.33663366336634,101.0,Away
51,IND,100.0,64.0,100.0,Away
52,ATL,100.0,57.28155339805825,103.0,Away
53,DEN,100.0,50.51546391752578,97.0,Away
54,WAS,100.0,60.204081632653065,98.0,Away
55,HOU,100.0,70.29702970297029,101.0,Away
56,NYK,100.0,61.45833333333334,96.0,Away
57,MIL,100.0,56.70103092783504,97.0,Away
58,POR,100.0,55.10204081632652,98.0,Away
60,SAC,100.0,71.73913043478261,92.0,Away
61,LAL,100.0,60.19417475728155,103.0,Away
62,NOH,100.0,75.51020408163265,49.0,Away
63,OKC,100.0,62.5,88.0,Away
64,BKN,100.0,68.0,50.0,Away
65,NOP,100.0,60.97560975609756,41.0,Away
66,MIN,99.59946595460613,64.70588235294117,187.0,Total
67,NJN,100.0,72.3404255319149,94.0,Total
68,MEM,98.87076537013802,70.35175879396985,199.0,Total
69,ORL,98.12734082397004,55.50000000000001,200.0,Total
70,CLE,99.29906542056077,68.22429906542055,214.0,Total
71,PHI,99.48586118251929,71.1340206185567,194.0,Total
72,CHA,98.42726081258192,56.02094240837696,191.0,Total
73,DET,98.84615384615385,60.0,195.0,Total
74,UTA,99.37343358395992,56.99999999999999,200.0,Total
75,GSW,99.28143712574852,67.94258373205741,209.0,Total
76,BOS,98.49884526558891,60.185185185185176,216.0,Total
77,PHX,99.47780678851173,61.45833333333334,192.0,Total
78,LAC,99.74651457541194,62.944162436548226,197.0,Total
79,DAL,98.99623588456713,64.82412060301507,199.0,Total
80,TOR,98.50187265917604,68.0,200.0,Total
81,MIA,98.81796690307327,59.24170616113744,211.0,Total
82,SAS,98.73708381171068,67.88990825688074,218.0,Total
83,CHI,98.8875154511743,63.86138613861386,202.0,Total
84,IND,98.87920298879204,59.701492537313435,201.0,Total
85,ATL,98.54191980558929,64.07766990291263,206.0,Total
86,DEN,99.36305732484078,57.14285714285714,196.0,Total
87,WAS,98.73096446700508,64.46700507614213,197.0,Total
88,HOU,99.26108374384235,66.00985221674877,203.0,Total
89,NYK,99.34725848563968,69.10994764397904,191.0,Total
90,MIL,97.92746113989638,55.95854922279793,193.0,Total
91,POR,99.61636828644501,60.71428571428571,196.0,Total
93,SAC,99.46018893387314,70.27027027027027,185.0,Total
94,LAL,98.90377588306944,71.21951219512195,205.0,Total
95,NOH,100.0,75.25773195876289,97.0,Total
96,OKC,99.28774928774929,59.65909090909091,176.0,Total
97,BKN,100.0,72.0,100.0,Total
98,NOP,100.0,67.90123456790124,81.0,Total
